# 2D Parameter Scan for Two-Radius Control (res = 100 m): Landscape Size 3000
# Nhosts = 1110; total host density = 123.33333333333333 hosts/km^-2# Kernel = <function exponential_kernel at 0x7fe4b12f2660>; Scale Parameter = 119m # Sps Parameters = [[0.007      0.09       0.00285714 0.00053   ]
 [0.014      0.14       0.00285714 0.00053   ]]
# control_start = random
# ######################################################
Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius_A	Radius_B	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDPC_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	                     Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.5	1110	555	555	547.0	554.0	0	0                             	1101.0	1098.0	1103.0	3730.9	3472.0	4028.2	591882.0	581940.4	601572.2	6808.9	6663.9	6896.8	208621.9	219640.8	213503.8	369876.0	385386.9	379025.3
0.5	1110	555	555	542.0	551.0	0	100                             	1092.0	1089.0	1097.0	3371.9	3132.3	3691.3	442751.3	435484.6	451046.9	4904.2	4814.4	5010.2	178653.7	189896.5	184360.2	252938.9	265850.8	258418.1
0.5	1110	555	555	541.0	547.0	0	200                             	1089.0	1083.0	1093.0	2858.1	2490.6	3246.5	376827.7	362799.8	394113.0	3968.7	3829.9	4128.9	178252.3	197693.7	187699.6	182511.9	196905.0	189250.6
0.5	1110	555	555	538.0	542.0	0	300                             	1080.0	1064.0	1091.0	2224.2	1920.0	2597.4	371570.6	351222.4	396716.6	3868.3	3654.0	4094.9	181962.9	206252.0	192565.6	168431.5	190455.9	178905.3
0.5	1110	555	555	531.0	534.0	0	400                             	1066.0	1034.0	1085.0	1822.7	1491.5	2189.7	357593.5	325803.5	386930.1	3690.1	3359.5	3979.8	170690.5	204358.2	188237.7	155860.9	181951.1	169888.7
0.5	1110	555	555	520.0	523.0	0	500                             	1040.0	982.0	1074.0	1482.1	1200.5	1898.8	339294.6	305935.8	371994.7	3491.6	3159.1	3847.1	159505.8	194110.7	176597.8	145371.1	177333.6	160949.2
0.5	1110	555	555	510.5	514.5	0	600                             	1023.0	958.0	1066.0	1196.6	948.8	1498.7	315310.6	278261.9	350415.2	3273.7	2884.9	3626.4	143983.7	182565.8	163268.1	134570.6	168744.7	151552.7
0.5	1110	555	555	502.0	504.0	0	700                             	1005.5	936.0	1057.0	1001.0	775.8	1253.8	287189.2	246250.5	323779.7	2977.6	2555.1	3352.3	127706.6	166733.4	147310.2	119774.6	156669.8	139210.3
0.5	1110	555	555	504.5	503.0	0	800                             	1008.5	941.2	1066.0	855.5	647.1	1145.3	273022.7	231597.6	307498.9	2835.9	2398.3	3197.6	119294.5	157350.3	139655.5	111143.0	149578.2	132270.8
0.5	1110	555	555	511.5	515.0	0	900                             	1026.0	951.2	1068.0	707.5	542.0	909.4	249325.9	210069.7	300127.8	2593.3	2195.1	3117.3	106896.4	153216.1	128152.4	102927.0	145534.5	121806.3
0.5	1110	555	555	538.0	548.0	100	0                             	1086.0	1081.0	1090.0	3423.6	3141.9	3735.8	425927.4	414208.1	435613.2	4624.6	4512.2	4723.1	183049.9	198549.7	189686.4	229226.7	240326.9	234721.7
0.5	1110	555	555	536.0	545.0	100	100                             	1080.0	1076.0	1086.0	3167.7	2857.4	3501.3	402312.7	388462.5	416217.5	4290.8	4141.6	4444.4	184639.9	200388.9	192080.9	203385.4	217346.3	210253.3
0.5	1110	555	555	533.0	540.0	100	200                             	1073.0	1063.0	1082.0	2707.6	2373.1	3021.3	387853.1	367493.1	407306.8	4040.8	3844.5	4243.7	186787.6	209383.8	199861.6	180831.8	199694.2	188290.0
0.5	1110	555	555	529.5	534.0	100	300                             	1063.0	1046.2	1079.0	2208.8	1916.2	2627.8	377356.9	350114.4	408700.4	3919.6	3623.0	4228.2	183443.8	214504.6	195628.3	167134.1	194234.2	180024.0
0.5	1110	555	555	519.0	524.0	100	400                             	1046.5	1006.0	1070.0	1814.2	1504.8	2182.3	355846.9	328470.0	398247.3	3680.5	3391.7	4092.8	172114.3	210968.4	187421.3	156316.7	188878.6	171017.9
0.5	1110	555	555	511.5	514.0	100	500                             	1026.5	966.2	1065.8	1501.3	1227.9	1824.3	334684.0	300534.7	373553.1	3483.6	3109.5	3873.3	156874.0	197106.1	174898.7	142220.3	179980.2	160327.7
0.5	1110	555	555	504.0	511.0	100	600                             	1011.5	962.5	1064.8	1227.2	993.5	1648.3	313954.0	277016.9	350788.2	3260.4	2875.2	3643.3	143847.8	181603.3	163181.8	133520.8	170438.5	150431.9
0.5	1110	555	555	498.5	503.0	100	700                             	999.0	923.8	1056.8	985.5	773.2	1300.5	284573.9	243593.6	331174.8	2947.8	2531.0	3439.2	125547.5	172263.3	147482.2	116932.1	159812.0	136941.0
0.5	1110	555	555	502.0	506.5	100	800                             	1009.0	936.2	1058.0	870.0	640.8	1107.8	262968.6	225836.7	309499.6	2719.5	2353.6	3220.8	115225.6	160172.7	134746.2	109898.0	149973.9	128898.9
0.5	1110	555	555	504.5	508.0	100	900                             	1011.0	940.0	1064.8	716.8	524.0	900.6	253474.1	215948.6	291243.6	2627.6	2261.5	3048.9	108624.9	148093.7	130305.1	106252.2	143900.1	123300.3
0.5	1110	555	555	529.0	535.0	200	0                             	1064.0	1049.0	1076.0	2717.3	2356.7	3130.3	392377.0	366913.4	419932.5	4073.1	3808.8	4353.5	187208.2	219351.5	202659.6	177343.1	203156.0	189515.9
0.5	1110	555	555	524.0	532.0	200	100                             	1055.5	1036.2	1068.8	2609.2	2259.8	3037.0	385914.5	362236.5	419207.8	4003.0	3774.4	4356.4	187179.5	218717.6	199303.7	175460.7	201226.6	185794.9
0.5	1110	555	555	516.0	524.0	200	200                             	1041.0	1018.5	1061.0	2218.6	1931.4	2627.3	386314.3	357013.5	420575.5	4004.5	3671.5	4330.3	186960.3	221421.7	203630.0	169581.2	199779.7	183736.0
0.5	1110	555	555	508.5	514.0	200	300                             	1022.0	991.0	1050.0	1937.0	1616.2	2267.6	367066.8	331322.7	411145.0	3809.2	3432.0	4246.9	174089.9	217837.5	191758.8	158749.0	197264.2	175103.4
0.5	1110	555	555	492.0	497.5	200	400                             	988.5	931.2	1034.0	1649.3	1366.3	1984.0	344217.8	303194.0	386310.3	3577.0	3158.2	3991.5	158751.3	201598.4	178872.3	145528.2	185062.0	165121.4
0.5	1110	555	555	486.0	492.5	200	500                             	981.0	902.2	1022.8	1453.3	1182.4	1757.7	320136.7	278323.8	362632.2	3297.5	2880.1	3750.8	144977.4	187548.6	164882.5	133458.5	172805.4	153202.5
0.5	1110	555	555	473.5	482.0	200	600                             	957.0	879.2	1010.8	1137.7	895.5	1482.9	290056.6	242941.8	337077.0	3018.2	2533.3	3533.7	125493.3	174370.1	148957.1	119073.8	165559.6	141930.0
0.5	1110	555	555	486.0	495.0	200	700                             	983.0	900.0	1032.0	1021.8	756.5	1277.1	281101.1	235739.8	330606.0	2916.2	2467.8	3444.9	119573.1	169591.6	145015.5	113833.4	160896.2	138132.1
0.5	1110	555	555	491.0	494.0	200	800                             	984.5	907.2	1034.8	829.8	613.1	1137.0	263682.3	211577.9	307635.7	2737.9	2204.9	3201.4	107833.7	158095.7	135992.0	104455.2	149952.9	129973.5
0.5	1110	555	555	493.5	496.5	200	900                             	991.5	915.0	1051.8	724.3	552.6	998.5	248666.2	209073.7	292547.4	2601.8	2181.2	3050.6	105241.1	149248.5	127973.8	102361.2	144881.9	120821.2
0.5	1110	555	555	507.0	512.0	300	0                             	1017.5	974.2	1051.0	2024.6	1657.1	2426.2	359518.8	323577.1	392025.9	3722.1	3354.3	4047.5	168384.9	207184.8	187269.3	155084.8	188339.1	171166.4
0.5	1110	555	555	502.0	508.0	300	100                             	1008.5	955.2	1043.8	1912.5	1619.2	2314.0	358185.3	321878.5	401038.6	3706.6	3339.2	4173.6	166774.9	208469.1	186847.3	153628.7	193190.2	170593.1
0.5	1110	555	555	487.0	494.0	300	200                             	983.0	924.2	1023.8	1718.4	1450.1	2049.2	344093.0	299775.8	381558.9	3564.3	3111.7	3948.7	154601.2	199015.5	181251.0	145715.7	182485.4	165134.4
0.5	1110	555	555	479.5	484.5	300	300                             	964.0	885.5	1011.8	1527.6	1281.7	1877.5	321494.5	279414.7	367103.5	3342.6	2908.2	3816.6	143379.0	191560.0	166902.8	134760.6	176150.1	152787.7
0.5	1110	555	555	463.5	470.0	300	400                             	935.0	865.2	994.8	1335.5	1138.5	1690.7	298451.4	260838.8	340059.4	3116.0	2710.9	3526.2	134348.8	177867.0	154156.7	125534.4	164465.6	143962.8
0.5	1110	555	555	456.0	460.0	300	500                             	916.0	822.8	978.5	1182.9	954.3	1447.5	279485.2	229592.4	312721.3	2901.8	2399.2	3251.7	118401.9	163964.4	144982.4	111284.5	152555.1	134437.6
0.5	1110	555	555	449.5	454.0	300	600                             	907.5	808.0	977.8	1043.3	823.7	1342.1	260348.7	207549.7	298811.6	2709.9	2173.2	3123.0	105131.3	153757.2	134821.0	101966.5	146962.5	125556.9
0.5	1110	555	555	465.5	469.5	300	700                             	932.0	849.2	1002.8	883.5	698.2	1147.8	254772.4	210121.2	300127.2	2659.7	2185.5	3131.5	108678.1	153334.3	130235.3	102114.3	146887.0	124292.8
0.5	1110	555	555	463.0	471.5	300	800                             	933.0	845.8	998.0	843.0	648.5	1087.6	238950.3	187474.2	285261.5	2500.3	1959.7	2960.1	94655.8	144357.8	122489.0	92681.8	138930.5	118018.5
0.5	1110	555	555	474.5	477.5	300	900                             	954.5	859.5	1018.8	723.6	504.0	973.5	233311.2	192103.0	278611.5	2439.0	1988.9	2906.5	96739.9	141444.4	118040.5	92576.9	135340.5	114792.5
0.5	1110	555	555	465.0	465.0	400	0                             	929.5	840.0	1002.8	1367.8	1045.9	1712.6	286354.5	243347.9	332518.2	2969.1	2532.5	3446.3	125111.0	172513.2	147751.0	118366.4	158995.3	136439.2
0.5	1110	555	555	463.0	466.0	400	100                             	931.0	844.8	995.0	1347.0	1032.0	1686.9	286425.0	237238.0	327405.5	2971.7	2461.3	3391.5	121678.5	170487.7	146806.0	115761.4	157692.9	138318.6
0.5	1110	555	555	458.5	469.0	400	200                             	925.5	831.2	993.0	1262.8	1003.8	1579.7	288790.5	231938.8	325805.2	3025.8	2409.1	3379.7	119394.9	170779.5	148297.2	112194.0	158198.5	140771.0
0.5	1110	555	555	445.5	452.5	400	300                             	898.5	785.0	979.0	1171.9	941.8	1423.3	268959.9	215676.3	308780.9	2805.8	2256.7	3201.9	110376.9	158734.0	136569.1	104979.1	149860.7	131326.1
0.5	1110	555	555	438.5	446.0	400	400                             	886.0	791.2	959.8	1062.3	838.1	1356.1	250556.5	205075.0	300591.4	2603.1	2115.7	3125.7	103712.1	155372.9	128828.4	99675.2	145717.0	120790.5
0.5	1110	555	555	429.5	436.0	400	500                             	865.0	771.0	944.8	928.7	733.7	1214.4	232566.5	187725.4	280419.3	2408.3	1959.0	2902.1	94923.6	145318.3	117878.5	91823.7	136371.8	112655.0
0.5	1110	555	555	427.0	435.0	400	600                             	862.0	788.2	945.0	824.6	639.1	1062.3	218133.3	171693.0	259299.1	2265.6	1830.2	2697.8	88730.6	132482.9	111419.6	84666.5	125056.8	105714.5
0.5	1110	555	555	432.0	438.5	400	700                             	872.0	804.0	957.0	792.4	568.8	1017.6	210644.5	176002.1	257609.9	2203.8	1844.4	2682.8	89385.4	132168.9	106943.5	86350.9	125848.0	104144.3
0.5	1110	555	555	454.0	456.0	400	800                             	907.0	806.0	977.8	718.8	550.0	916.7	214966.9	174328.7	255940.8	2250.9	1822.5	2650.4	88195.3	131745.5	107839.6	85088.7	124259.6	105736.8
0.5	1110	555	555	470.0	475.5	400	900                             	942.5	841.5	998.8	638.1	490.1	851.9	206798.1	166110.3	250597.1	2158.2	1737.2	2617.2	84767.6	128294.9	105642.5	81598.0	122355.7	101787.0
0.5	1110	555	555	461.5	466.5	500	0                             	928.5	836.0	992.0	1004.4	735.5	1375.4	244006.0	198280.0	291681.3	2534.7	2063.6	3024.3	102178.0	149178.3	125177.9	96898.2	141423.8	118072.8
0.5	1110	555	555	461.5	467.0	500	100                             	930.0	831.0	987.8	961.4	741.6	1251.9	245137.4	198871.2	285698.8	2546.6	2077.2	2925.7	102906.0	145528.7	125972.1	96492.3	137479.3	119655.2
0.5	1110	555	555	442.0	451.5	500	200                             	893.5	811.8	965.8	984.7	716.4	1259.0	233137.8	189411.2	277434.6	2439.8	1967.8	2898.2	96303.0	143064.6	119698.6	91395.0	135198.9	112962.2
0.5	1110	555	555	450.0	455.5	500	300                             	905.0	820.8	965.8	902.6	691.2	1158.3	233481.6	186829.7	281056.7	2429.2	1960.7	2913.3	95380.0	145938.4	120090.8	92453.5	135699.4	113770.5
0.5	1110	555	555	437.0	441.0	500	400                             	879.0	778.2	956.5	830.7	636.5	1112.4	209874.9	176276.5	254617.9	2192.0	1838.1	2648.2	87902.7	131314.2	108871.8	85834.8	124306.8	102945.3
0.5	1110	555	555	430.5	435.0	500	500                             	868.0	752.8	941.0	766.0	604.0	1003.6	204475.3	166409.3	243716.1	2137.4	1734.4	2552.1	83528.1	123801.1	104305.2	81141.9	120860.5	100727.2
0.5	1110	555	555	432.0	438.0	500	600                             	869.0	796.2	961.0	658.6	541.4	871.8	200476.5	162114.9	239373.7	2077.3	1688.7	2491.9	81852.4	122460.4	100913.5	79441.2	116128.7	98099.4
0.5	1110	555	555	431.0	437.0	500	700                             	867.5	773.5	958.8	627.3	485.7	822.2	187018.8	152634.8	222086.3	1953.8	1601.4	2300.9	77017.5	114388.9	94715.1	76649.9	108088.1	92556.0
0.5	1110	555	555	435.0	438.5	500	800                             	873.0	803.2	958.8	597.6	444.6	806.3	189399.7	151360.4	228275.2	1987.7	1587.7	2386.7	77242.1	116343.5	96770.7	74874.7	111099.7	93085.5
0.5	1110	555	555	447.5	455.0	500	900                             	898.5	815.2	985.2	562.8	433.2	754.8	184507.5	146133.4	220022.9	1931.9	1534.9	2284.0	74577.3	111628.5	93515.5	72096.3	109018.0	91369.0
0.5	1110	555	555	449.5	456.0	600	0                             	907.5	828.2	981.5	791.5	611.1	1045.5	210285.8	174312.7	252563.0	2187.0	1825.6	2631.1	87480.8	127592.0	107359.4	85003.8	124585.3	101758.5
0.5	1110	555	555	451.5	457.5	600	100                             	909.0	807.0	983.8	763.3	566.2	1029.6	210038.9	172655.4	253002.4	2191.1	1805.5	2630.2	87786.6	128856.7	106323.1	85720.4	121555.5	103506.7
0.5	1110	555	555	448.5	453.0	600	200                             	904.0	825.0	973.0	739.2	535.2	960.7	205479.6	162835.7	251231.5	2160.0	1708.5	2623.4	82651.0	127737.8	104195.4	80938.6	123183.6	101210.4
0.5	1110	555	555	446.5	446.0	600	300                             	891.5	807.2	976.8	736.8	525.6	971.2	198612.0	160602.1	242683.3	2093.0	1667.6	2537.6	83135.4	124438.8	103106.0	77004.1	120090.1	98865.1
0.5	1110	555	555	439.0	445.0	600	400                             	886.5	806.0	949.8	668.3	507.8	913.8	192563.2	153741.5	227979.6	2021.7	1616.0	2368.3	77155.8	116712.1	95555.0	77055.8	111099.5	95303.6
0.5	1110	555	555	436.0	439.0	600	500                             	873.0	788.5	950.0	643.9	483.3	837.2	189721.7	150729.4	226445.6	1972.6	1581.8	2354.4	78260.8	115730.2	96248.8	73857.8	111300.4	92516.9
0.5	1110	555	555	440.5	441.5	600	600                             	882.5	798.0	956.8	607.4	462.7	776.1	183868.1	149394.5	216840.3	1925.9	1574.4	2255.2	75507.2	110453.3	93065.6	74686.6	105889.7	90277.7
0.5	1110	555	555	444.0	448.0	600	700                             	893.5	815.0	957.2	517.1	405.8	696.6	173150.4	135150.6	206346.2	1814.3	1416.2	2161.0	69068.2	104624.4	88240.5	66946.0	101640.0	85509.2
0.5	1110	555	555	444.0	445.0	600	800                             	887.0	801.5	960.8	485.8	371.2	661.8	168946.5	132023.4	200834.1	1752.8	1383.9	2091.8	66139.6	102411.6	85122.8	65788.2	98388.0	83001.6
0.5	1110	555	555	463.0	465.5	600	900                             	929.0	840.2	985.5	482.7	380.2	640.5	177915.0	143944.5	212709.2	1857.0	1510.6	2216.8	72809.0	108749.2	90007.0	71373.6	104716.4	87217.0
0.5	1110	555	555	463.0	470.0	700	0                             	933.5	861.0	989.8	604.5	472.2	792.7	196235.5	159902.2	230353.6	2056.4	1666.7	2422.3	82000.3	117636.7	99712.1	79135.9	114657.8	96791.4
0.5	1110	555	555	464.0	467.5	700	100                             	931.0	844.2	998.5	606.0	450.7	802.2	187711.1	149435.8	227376.6	1965.3	1562.2	2366.5	75781.9	114611.4	96991.8	74413.0	112331.9	92808.9
0.5	1110	555	555	461.0	465.5	700	200                             	929.5	839.2	997.0	607.4	467.7	816.4	190263.9	153465.7	226961.4	1990.9	1602.9	2363.4	77638.6	114780.3	95514.3	74918.5	111964.0	94071.8
