Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDPC_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.0	1110	1110	0	1043.0	0.0	0	1043.0	1035.2	1052.0	4024.2	3686.4	4401.2	409139.1	399463.8	417592.5	4091.4	3994.6	4178.7	399463.8	417592.5	409139.1	0.0	0.0	0.0
0.0	1110	1110	0	1009.5	0.0	50	1009.5	993.0	1022.0	3776.7	3449.4	4139.8	431581.2	418245.7	448161.3	4315.8	4182.5	4481.6	418245.7	448161.3	431581.2	0.0	0.0	0.0
0.0	1110	1110	0	938.0	0.0	100	938.0	897.2	965.0	3316.0	2921.3	3839.5	517431.0	471588.3	587311.0	5174.3	4715.9	5873.1	471588.3	587311.0	517431.0	0.0	0.0	0.0
0.0	1110	1110	0	798.5	0.0	150	798.5	713.0	878.8	2530.8	2128.9	3099.9	450790.6	363187.8	519588.9	4507.9	3635.5	5198.6	363187.8	519588.9	450790.6	0.0	0.0	0.0
0.0	1110	1110	0	635.0	0.0	200	635.0	556.0	738.0	1744.2	1341.5	2144.7	288921.4	215395.8	374883.2	2889.2	2156.3	3748.8	215395.8	374883.2	288921.4	0.0	0.0	0.0
0.0	1110	1110	0	621.5	0.0	250	621.5	529.2	716.5	1288.0	1042.2	1600.8	222847.7	179889.0	299400.9	2228.5	1801.9	2994.0	179889.0	299400.9	222847.7	0.0	0.0	0.0
0.0	1110	1110	0	578.0	0.0	300	578.0	469.8	663.5	950.2	717.6	1256.5	177798.0	117652.1	229042.1	1781.6	1176.5	2290.7	117652.1	229042.1	177798.0	0.0	0.0	0.0
0.0	1110	1110	0	610.5	0.0	350	610.5	515.2	685.8	765.0	581.6	1001.6	154478.7	116509.7	202524.7	1544.8	1167.3	2027.9	116509.7	202524.7	154478.7	0.0	0.0	0.0
0.0	1110	1110	0	637.0	0.0	400	637.0	544.0	705.8	669.7	497.1	843.8	142565.5	111530.9	185037.2	1430.2	1115.3	1852.6	111530.9	185037.2	142565.5	0.0	0.0	0.0
0.0	1110	1110	0	687.0	0.0	450	687.0	578.5	761.8	619.0	458.1	772.3	145515.5	108813.3	197852.3	1458.8	1089.8	1978.5	108813.3	197852.3	145515.5	0.0	0.0	0.0
0.0	1110	1110	0	699.0	0.0	500	699.0	618.5	766.0	527.6	389.7	678.6	134387.1	102947.5	179554.7	1345.6	1032.5	1798.4	102947.5	179554.7	134387.1	0.0	0.0	0.0
0.0	1110	1110	0	721.0	0.0	550	721.0	648.2	793.0	432.8	336.8	589.3	125108.0	98788.8	157679.3	1251.1	989.1	1576.8	98788.8	157679.3	125108.0	0.0	0.0	0.0
0.0	1110	1110	0	763.0	0.0	600	763.0	695.0	834.5	432.1	321.1	569.0	128698.0	97844.2	162367.8	1290.6	982.1	1625.8	97844.2	162367.8	128698.0	0.0	0.0	0.0
0.0	1110	1110	0	814.5	0.0	650	814.5	741.5	886.8	400.1	297.8	519.0	133314.3	101697.7	163351.1	1333.5	1017.3	1633.5	101697.7	163351.1	133314.3	0.0	0.0	0.0
0.0	1110	1110	0	839.5	0.0	700	839.5	762.8	910.0	381.5	277.5	511.3	129432.5	103692.3	159698.9	1295.5	1039.7	1599.0	103692.3	159698.9	129432.5	0.0	0.0	0.0
0.0	1110	1110	0	857.5	0.0	750	857.5	787.2	928.5	342.2	265.3	457.5	132850.0	99286.8	158576.4	1328.5	995.3	1585.8	99286.8	158576.4	132850.0	0.0	0.0	0.0
